id,will_finish
801,0
802,1
803,1
804,0
805,1
806,0
807,0
808,1
809,0
810,1
811,1
812,1
813,0
814,1
815,1
816,1
817,0
818,1
819,1
820,1
821,1
822,1
823,0
824,1
825,1
826,1
827,0
828,1
829,1
830,0
831,1
832,0
833,1
834,1
835,1
836,0
837,1
838,1
839,0
840,1
841,1
842,1
843,1
844,1
845,1
846,0
847,1
848,1
849,1
850,1
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,0
861,1
862,0
863,1
864,0
865,1
866,0
867,1
868,0
869,0
870,0
871,1
872,1
873,1
874,1
875,1
876,0
877,1
878,1
879,1
880,1
881,1
882,0
883,1
884,1
885,1
886,0
887,0
888,0
889,1
890,1
891,1
892,1
893,0
894,1
895,1
896,1
897,0
898,1
899,1
900,1
901,1
902,0
903,1
904,0
905,1
906,1
907,0
908,1
909,1
910,0
911,1
912,0
913,1
914,0
915,1
916,1
917,0
918,1
919,1
920,1
921,1
922,0
923,0
924,1
925,0
926,1
927,0
928,1
929,1
930,1
931,1
932,1
933,1
934,1
935,0
936,0
937,1
938,0
939,0
940,1
941,0
942,0
943,0
944,1
945,1
946,0
947,0
948,1
949,1
950,1
951,0
952,1
953,1
954,1
955,1
956,1
957,1
958,0
959,0
960,1
961,0
962,1
963,1
964,1
965,1
966,1
967,0
968,1
969,0
970,0
971,0
972,1
973,0
974,0
975,0
976,1
977,1
978,1
979,0
980,1
981,0
982,0
983,0
984,1
985,1
986,1
987,0
988,0
989,0
990,1
991,1
992,0
993,1
994,1
995,0
996,0
997,0
998,1
999,1
1000,0
1001,1
1002,0
1003,1
1004,0
1005,0
1006,1
1007,0
1008,1
1009,1
1010,1
1011,0
1012,1
1013,1
1014,1
1015,1
1016,0
1017,0
1018,1
1019,0
1020,1
1021,1
1022,1
1023,1
1024,1
1025,0
1026,1
1027,0
1028,1
1029,1
1030,1
1031,0
1032,0
1033,1
1034,0
1035,1
1036,1
1037,0
1038,1
1039,0
1040,0
1041,1
1042,1
1043,0
1044,1
1045,0
1046,1
1047,0
1048,1
1049,1
1050,1
1051,1
1052,1
1053,1
1054,0
1055,0
1056,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,0
1063,1
1064,0
1065,1
1066,0
1067,1
1068,1
1069,1
1070,1
1071,1
1072,0
1073,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,1
1080,1
1081,1
1082,1
1083,0
1084,1
1085,1
1086,1
1087,0
1088,1
1089,0
1090,0
1091,0
1092,0
1093,1
1094,1
1095,1
1096,0
1097,1
1098,0
1099,1
1100,1
1101,0
1102,1
1103,1
1104,0
1105,0
1106,1
1107,1
1108,1
1109,1
1110,0
1111,0
1112,1
1113,1
1114,0
1115,0
1116,0
1117,1
1118,0
1119,0
1120,0
1121,1
1122,0
1123,1
1124,1
1125,1
1126,1
1127,0
1128,1
1129,1
1130,0
1131,0
1132,0
1133,1
1134,0
1135,0
1136,1
1137,1
1138,1
1139,1
1140,1
1141,0
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,0
1149,0
1150,1
